index,method,number,orbital_period,mass,distance,year
595,Transit,5,2.896,,303.0,2012
596,Radial Velocity,1,456.1,3.09,52.88,2007
597,Radial Velocity,3,346.6,0.396,64.56,2007
598,Radial Velocity,1,1279.0,4.9,31.03,2002
599,Radial Velocity,1,48.056,0.21,51.26,2005
600,Radial Velocity,4,310.55,,15.28,2006
601,Radial Velocity,1,3383.0,3.15,51.36,2002
602,Radial Velocity,1,6.495,0.96,121.07,2010
603,Radial Velocity,1,3.024,0.249,33.41,2000
604,Transit,2,8.9858,,,2011
605,Radial Velocity,3,2831.6,1.68,47.3,2012
606,others,1,,,139.0,2004
607,Transit,2,11.8681707,,,2012
608,Transit,1,228.776,,61.0,2011
609,Transit,2,5.9123,,,2011
610,Transit,1,2.899736,,138.0,2007
611,others,1,,,4970.0,2013
612,Radial Velocity,3,559.4,3.0,52.83,2007
613,Radial Velocity,1,297.3,0.61,127.55,2007
614,Radial Velocity,1,1117.0,1.16,56.18,2010
615,Transit,2,8.0109434,,,2012
616,Radial Velocity,1,2890.0,11.0,87.87,2011
617,Transit,2,25.5169,,,2014
618,Radial Velocity,1,2097.0,3.0,85.18,2009
619,Transit,1,2.9444256,,,2010
620,Radial Velocity,1,3.2357,0.0036,1.35,2012
621,Transit,1,3.8559,,480.0,2012
622,others,3,,,,2014
623,Radial Velocity,3,123.0,,,2014
624,Transit,1,2.4855335,,,2008
625,Transit,1,9.20205,,,2008
626,others,1,8679.7,,26.67,2009
627,Transit,1,11.5231,,,2014
628,Transit,4,10.423648,,,2013
629,Radial Velocity,3,9.3743,0.0238,26.15,2008
630,Radial Velocity,1,948.12,0.224,38.05,2011
631,Radial Velocity,2,395.8,1.29,68.54,2002
632,Radial Velocity,4,643.25,,15.28,2000
633,Transit,2,6.48163,,,2014
634,Radial Velocity,1,14.476,0.08,63.69,2008
635,Transit,2,15.09,,,2013
636,Transit,2,10.95416,,339.0,2013
637,Radial Velocity,1,8.7836,0.0265,9.42,2008
638,Transit,2,7.1073,,800.0,2011
639,Radial Velocity,3,14002.0,1.64,14.08,2009
640,Transit,4,54.32031,,,2013
641,Transit,1,3.056536,,314.0,2007
642,Transit,1,4.885525,,,2009
643,Radial Velocity,3,8.631,0.035,14.97,2013
644,Transit,1,17.833648,,132.0,2013
645,Radial Velocity,1,521.0,1.8,114.15,2011
646,Radial Velocity,2,7100.0,1.6,15.1,2011
647,others,4,69000.0,,39.94,2008
648,Radial Velocity,1,6.958,0.34,,2014
649,Transit,1,2.204737,,320.0,2008
650,Radial Velocity,3,8.667,0.033,12.58,2006
651,Transit,2,48.648,,,2013
652,Transit,1,3.21346,,550.0,2009
653,Transit,3,6.88705,,,2014
654,Radial Velocity,3,18.315,0.0085,6.06,2011
655,Radial Velocity,1,835.477,11.09,97.66,2009
656,Radial Velocity,1,745.7,5.3,307.69,2011
657,Radial Velocity,3,2295.0,0.683,33.24,2002
658,Radial Velocity,1,3.8335,0.06,81.1,2007
659,Transit,1,6.21229,,380.0,2010
660,Transit,1,4.124481,,254.0,2010
661,Transit,2,23.654,,,2013
662,Radial Velocity,1,2.1451,,,2012
663,Radial Velocity,2,379.1,2.25,94.61,2005
664,Radial Velocity,4,3.14942,0.006,6.27,2005
665,Radial Velocity,1,136.75,2.8,62.66,2007
666,Transit,2,38.5583038,,,2012
667,others,1,,,140.0,2010
668,Transit,1,3.052401,,180.0,2010
669,Radial Velocity,2,125.94,0.17,20.1,2013
670,Radial Velocity,2,17.054,0.087,17.99,2004
671,Radial Velocity,1,986.0,0.75,44.98,2006
672,Radial Velocity,2,1353.6,0.35061,37.84,2008
673,Radial Velocity,1,663.0,3.3,115.47,2009
674,Radial Velocity,1,2093.3,,,2012
675,Radial Velocity,1,2371.0,25.0,37.05,2008
676,Radial Velocity,6,49.747,0.08,39.39,2010
677,Transit,1,4.187757,,260.0,2008
678,Transit,1,2.615864,,148.0,2007
679,others,2,160.0,,2119.0,2011
680,others,1,1016.0,,14.98,2010
681,Radial Velocity,1,363.2,,37.78,2010
682,others,2,3321.0,,130.72,2008
683,Radial Velocity,1,2.64561,0.022,19.8,2010
684,Transit,1,1.7635892,,,2011
685,Radial Velocity,1,3668.0,4.01,46.51,2006
686,others,2,5840.0,,,2011
687,Radial Velocity,1,538.0,1.83,,2007
688,Radial Velocity,2,192.9,1.82,52.85,2009
689,Radial Velocity,1,778.1,5.9,138.5,2011
690,Radial Velocity,3,59.519,0.0382,26.91,2011
691,others,3,66.5419,,,1992
692,Radial Velocity,1,4100.0,2.3,20.03,2013
693,Radial Velocity,2,1657.0,0.71,15.71,2010
694,Radial Velocity,2,237.6,0.33,42.09,2009
695,others,1,6000.0,,19.28,2008
696,Radial Velocity,1,157.57,1.7,140.85,2011
697,Transit,2,9.37647,,,2012
698,Radial Velocity,2,85.131,0.0496,35.89,2011
699,Transit,1,68.9584,,,2014
700,Transit,1,0.925542,,470.0,2014
701,Radial Velocity,1,1561.0,7.71,51.97,2003
702,Transit,1,2.718659,,,2010
703,Transit,5,77.61184,,290.0,2011
704,Transit,3,45.154,,,2012
705,Radial Velocity,2,5.6,0.045,42.09,2009
706,Radial Velocity,1,8.428198,14.4,31.26,2002
707,Radial Velocity,1,466.0,0.5,53.82,2010
708,Transit,1,282.5255,,,2013
709,Radial Velocity,1,324.0,2.83,37.42,2013
710,Radial Velocity,1,269.3,7.1,77.4,2006
711,Radial Velocity,1,431.88,2.07,77.82,2001
712,Transit,1,3.332687,,542.0,2012
713,Radial Velocity,4,4205.8,1.814,15.28,2004
714,Radial Velocity,1,589.64,2.9,10.34,2006
715,Radial Velocity,1,1773.4,4.64,18.15,2002
716,Radial Velocity,1,4.113775,0.45,28.98,2006
717,Radial Velocity,1,1630.0,,56.31,2012
718,Transit,2,16.23855,,470.0,2012
719,Transit,2,12.2829,,,2011
720,Radial Velocity,3,27.582,0.0358,14.56,2011
721,Radial Velocity,1,122.1,0.05,9.24,2010
722,Radial Velocity,1,18.179,0.33,86.88,2006
723,Radial Velocity,1,1840.0,1.6,67.61,2009
724,Radial Velocity,1,572.38,7.75,41.95,1999
725,Radial Velocity,1,326.03,19.4,110.62,2007
726,Transit,1,3.90512,,800.0,2010
727,Radial Velocity,1,1289.0,3.0,46.93,2002
728,Radial Velocity,1,5501.0,10.39,29.2,2012
729,Radial Velocity,1,4.4264,,,2012
730,Transit,1,1.72086123,,1056.0,2014
731,Transit,1,4.086052,,380.0,2012
732,Radial Velocity,1,479.0,1.6,114.55,2009
733,Radial Velocity,1,417.9,,70.42,2012
734,Transit,1,15.7259,,1107.0,2013
735,Radial Velocity,1,479.1,3.88,97.28,2008
736,Radial Velocity,1,1634.0,14.2,38.26,2009
737,Radial Velocity,6,39.026,0.008,6.8,2013
738,Radial Velocity,1,883.0,2.2,121.36,2011
739,Radial Velocity,1,689.0,1.5,182.82,2011
740,Radial Velocity,1,763.0,2.6,19.84,2011
741,Radial Velocity,6,5.75962,0.041,39.39,2010
742,Radial Velocity,1,903.3,1.85,13.79,2003
743,Radial Velocity,2,2891.0,1.502,15.89,2003
744,Radial Velocity,1,157.54,3.04,117.37,2009
745,Radial Velocity,2,1046.0,,28.04,2011
746,Radial Velocity,1,772.0,2.7,127.88,2011
747,Radial Velocity,1,829.0,0.8,32.7,2001
748,Radial Velocity,1,3.0925,0.95,27.05,2000
749,Transit,2,27.402,,,2012
750,Radial Velocity,2,74.72,0.05318,8.82,2011
